회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
엔에스쇼핑,138250,무점포 소매업,TV홈쇼핑,2015-03-27,12월,도상철,http://pr.nsmall.com,경기도
세화아이엠씨,145210,특수 목적용 기계 제조업,"타이어 금형, 타이어 제조설비",2015-03-19,12월,손오동,http://www.saehwaimc.com,광주광역시
한솔제지,213500,"펄프, 종이 및 판지 제조업","인쇄용지, 산업용지, 특수지 제조 및 판매",2015-01-26,12월,한철규,http://www.hansolpaper.co.kr,서울특별시
디와이파워,210540,특수 목적용 기계 제조업,유공압기기 등,2015-01-15,12월,박치웅,http://power.dy.co.kr,경상남도
삼성물산,28260,기타 전문 도매업,"도소매, 건설, 남자용 정장 제조업 등",2014-12-18,12월,"이영호, 고정석, 정금용",http://www.samsungcnt.com,서울특별시
씨에스윈드,112610,"구조용 금속제품, 탱크 및 증기발생기 제조업",풍력발전타워 제조,2014-11-27,12월,"김성권, 김승범",http://www.cswind.com,충청남도
삼성에스디에스,18260,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","IT서비스, 물류BPO",2014-11-14,12월,홍원표,http://www.samsungsds.com,서울특별시
만도,204320,자동차 신품 부품 제조업,"제동장치, 조향장치, 현가장치",2014-10-06,12월,"정몽원, 탁일환, 김광헌 (각자 대표이사)",http://www.mando.com,경기도
서연이화,200880,자동차 신품 부품 제조업,자동차 도어 트림 및 시트,2014-08-08,12월,김근식,http://www.seoyoneh.com,경기도
쿠쿠홀딩스,192400,기타 금융업,주방용 전기기기 제조업,2014-08-06,12월,구본학,http://www.cuckoo.co.kr,경상남도
화인베스틸,133820,1차 철강 제조업,"조선용 형강(부등변 부등후 앵글, 부등호 앵글, 등변앵글 평철 등)",2014-07-22,12월,장재훈,http://www.finebesteel.com,경상남도
BGF,27410,기타 금융업,지주회사,2014-05-19,12월,홍정국,http://www.bgf.co.kr,서울특별시
코스맥스,192820,기타 화학제품 제조업,화장품,2014-04-07,12월,"최 경, 이병만",http://www.cosmax.com,경기도
종근당,185750,의약품 제조업,"딜라트렌,리피로우",2013-12-06,12월,김영주,http://www.ckdpharm.com,서울특별시
신송홀딩스,6880,산업용 농·축산물 및 동·식물 도매업,사업경영 및 관리자문,2013-11-21,12월,조갑주,http://www.singsongholdings.com,서울특별시
아세아시멘트,183190,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트, 레미콘, 몰탈",2013-11-06,12월,"이훈범, 강석일(각자 대표이사)",http://www.asiacement.co.kr,서울특별시
현대로템,64350,철도장비 제조업,"철도차량, 특수중기, 산업기계",2013-10-30,12월,이용배,http://www.hyundai-rotem.co.kr,경상남도
한진칼,180640,항공 여객 운송업,"지주사업, 경영자문 및 컨설팅",2013-09-16,12월,"조원태, 석태수",http://www.hanjinkal.co.kr,서울특별시
엔에이치엔,181710,소프트웨어 개발 및 공급업,한게임,2013-08-29,12월,정우진,http://www.nhn.com,경기도
JB금융지주,175330,기타 금융업,금융지주 회사,2013-07-18,12월,김기홍,http://www.jbfg.com,전라북도
하이골드12호,172580,운송장비 임대업,,2013-07-12,12월,오운용,,제주특별자치도
DSR,155660,1차 비철금속 제조업,합섬섬유로프,2013-05-15,12월,홍석빈,http://www.dsr.com,부산광역시
한국패러랠,168490,신탁업 및 집합투자업,,2013-04-19,03월,한국투자신탁운용(주),,서울특별시
동아에스티,170900,의약품 제조업,"스티렌, 자이데나",2013-04-08,12월,엄대식 (단독대표),http://www.donga.co.kr,서울특별시
지엠비코리아,13870,자동차 신품 부품 제조업,"VS, TIB, CVJoint 등",2012-11-20,12월,"정세영, 변종문",http://www.gmb.co.kr,경상남도
LG헬로비전,37560,텔레비전 방송업,"케이블TV, 인터넷서비스 등",2012-11-09,12월,송구영,http://www.lghellovision.net,서울특별시
동일고무벨트,163560,고무제품 제조업,"산업용고무제품, 종합고무부품",2012-10-19,12월,이윤환,http://www.drbworld.com,부산광역시
한국콜마,161890,기타 화학제품 제조업,"화장품, 의약품",2012-10-19,12월,"윤상현, 이호경, 안병준",,세종특별자치시
한국타이어앤테크놀로지,161390,고무제품 제조업,타이어 제조,2012-10-04,12월,"조현범,이수일",http://kr.hankooktire.com,경기도
애경유화,161000,기초 화학물질 제조업,오르토프탈산디옥틸,2012-09-17,12월,임재영,,서울특별시
SK렌터카,68400,운송장비 임대업,승용자동차 임대,2012-07-27,12월,현몽주,http://www.skcarrental.com,서울특별시
바다로19호,155900,운송장비 임대업,,2012-06-29,12월,박현주,,제주특별자치도
사조씨푸드,14710,수산물 가공 및 저장 처리업,횟감용 참치 및 기타 일반수산물,2012-06-29,12월,최세환,http://www.sajosf.co.kr,서울특별시
하이골드3호,153360,운송장비 임대업,,2012-05-04,12월,오운용,,제주특별자치도
코오롱머티리얼,144620,화학섬유 제조업,"합성섬유 제조/직물 도매,무역",2012-04-05,12월,대표이사 전무 김철수,http://www.kolonfm.com,경기도
한국ANKOR유전,152550,신탁업 및 집합투자업,,2012-03-08,03월,한국투자신탁운용,,서울특별시
휴비스,79980,화학섬유 제조업,"합성섬유(폴리에스테르원사,원면),재생섬유,폴리에스텔 원사,원면,고상칩 제조,도소매",2012-02-23,12월,신유동,http://www.huvis.com,서울특별시
케이탑리츠,145270,부동산 임대 및 공급업,부동산 임대,2012-01-31,12월,이명식,http://www.ktopreits.co.kr,서울특별시
GS리테일,7070,종합 소매업,"체인화 편의점,슈퍼마켓,마트,전자상거래/부동산(빌딩) 임대",2011-12-23,12월,허연수,http://www.gsretail.com,서울특별시
인터지스,129260,도로 화물 운송업,"화물운송,알선,하역",2011-12-16,12월,박동호,http://www.intergis.co.kr,부산광역시
삼양사,145990,기타 식품 제조업,설탕,2011-12-05,12월,"박순철, 송자량",http://www.samyangcorp.com,서울특별시
하나투어,39130,여행사 및 기타 여행보조 서비스업,"일반여행알선,컴퓨터프로그램 개발,보급,통신판매",2011-11-01,12월,"김진국, 송미선(각자대표)",http://www.hanatour.com,서울특별시
에이블씨엔씨,78520,기타 화학제품 제조업,"화장품 제조,도소매/소프트웨어 자문,개발,공급/전자상거래",2011-09-07,12월,"이해준, 조정열",http://www.able-cnc.com,서울특별시
삼원강재,23000,자동차 신품 부품 제조업,"열간압연제품(평강,봉강,특수이형강,환강,자동차용 겹판스프링) 제조,판매",2011-07-22,12월,"허재철, 장범석 (각자대표)",http://www.samwon-steel.co.kr,경상북도
신세계인터내셔날,31430,"섬유, 의복, 신발 및 가죽제품 소매업","섬유, 의복, 신발 및 가죽제품 소매",2011-07-14,12월,"장재영, 이길한, 손문국 (각자대표)",http://www.sikorea.co.kr,서울특별시
에이리츠,140910,부동산 임대 및 공급업,,2011-07-14,12월,김종국 (단독 대표이사),http://www.areit.co.kr,서울특별시
한국항공우주,47810,"항공기,우주선 및 부품 제조업","정부방산 및 완제기 수출(T-50계열, KUH계열, KT-1계열 등), 기체부품",2011-06-30,12월,안현호,http://www.koreaaero.com,경상남도
롯데하이마트,71840,가전제품 및 정보통신장비 소매업,"가전제품,잡화 도소매/부동산 임대",2011-06-29,12월,이동우,http://www.himart.co.kr/index.jsp,서울특별시
한세엠케이,69640,"섬유, 의복, 신발 및 가죽제품 소매업","케주얼웨어(BUCKAROO, TBJ 등)",2011-06-21,12월,"김동녕, 김지원(각자 대표이사)",http://www.mktrend.co.kr,서울특별시
코오롱플라스틱,138490,합성고무 및 플라스틱 물질 제조업,엔지니어링플라스틱,2011-06-15,12월,방민수,http://www.kolonplastics.com,경상북도
이마트,139480,종합 소매업,대형마트,2011-06-10,12월,강희석,http://emartcompany.comkomain.do,서울특별시
DGB금융지주,139130,기타 금융업,지주회사,2011-06-07,12월,김태오,http://www.dgbfg.co.kr,대구광역시
케이티스카이라이프,53210,텔레비전 방송업,위성방송서비스,2011-06-03,12월,김철수,http://www.ktskylife.co.kr,서울특별시
세아특수강,19440,1차 철강 제조업,"냉간압조용선재,마봉강,스테인레스봉강 제조",2011-06-01,12월,전주병,http://www.seahsp.co.kr,경상북도
메리츠금융지주,138040,기타 금융업,투자사업,2011-05-13,12월,김용범,http://www.meritzgroup.com,서울특별시
한국종합기술,23350,"건축기술, 엔지니어링 및 관련 기술 서비스업","토목설계,건축설계,감리,측량/토목건축공사",2011-04-28,12월,이상민,http://www.kecc.co.kr,경기도
BNK금융지주,138930,기타 금융업,금융지주회사,2011-03-30,12월,김지완,http://www.bnkfg.com,부산광역시
일진머티리얼즈,20150,전자부품 제조업,"인쇄회로기판(PCB)용 전해동박(ACF,UCF),에폭시용 동박,전해콘덴서용 알루미늄박 제조,판매",2011-03-04,12월,"허재명,주재환",http://www.iljinm.co.kr,전라북도
현대위아,11210,자동차 신품 부품 제조업,"자동차부품, 공작기계 등",2011-02-21,12월,김경배,http://www.hyundai-wia.com,경상남도
선진,136490,동물용 사료 및 조제식품 제조업,조제동물사료,2011-02-16,12월,이범권,,경기도
미원화학,134380,기타 화학제품 제조업,"계면활성제, 황산및분황",2011-02-15,12월,정규식,http://www.miwonchemicals.com,울산광역시
시디즈,134790,가구 제조업,의자,2011-01-25,12월,대표이사 이상배,http://www.sidiz.com,경기도
HSD엔진,82740,일반 목적용 기계 제조업,"대형선박용엔진,내연발전엔진",2011-01-04,12월,고영열,http://www.hsdengine.com,경상남도
대성에너지,117580,연료용 가스 제조 및 배관공급업,천연가스,2010-12-24,12월,대표이사 김영훈 대표이사 우중본,http://www.taegugas.co.kr,대구광역시
현대에이치씨엔,126560,텔레비전 방송업,방송업,2010-12-23,12월,류성택,http://www.hcn.co.kr,서울특별시
KTis,58860,기타 정보 서비스업,"114전화번호안내, 고객센터",2010-12-17,12월,이응호,http://www.ktis.co.kr,서울특별시
한전산업,130660,"건축기술, 엔지니어링 및 관련 기술 서비스업","발전설비 운전·정비, 전기검침",2010-12-16,12월,홍원의,http://www.kepid.co.kr,서울특별시
엘브이엠씨,900140,자동차 판매업,지주회사,2010-11-30,12월,"오세영, 노성석, 김선발 (각자 대표이사)",http://www.lvmcholdings.net,케이맨 제도
비케이탑스,30790,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","시스템통합소프트웨어 개발, 전자상거래",2010-11-02,12월,김봉겸,http://www.tongyangnetworks.com,서울특별시
휠라홀딩스,81660,생활용품 도매업,"스포츠의류,신발,가방,시계,골프장비,화장품,가죽제품(지갑,키홀더) 도매,수출입",2010-09-28,12월,윤근창,http://www.filaholdings.com/kr/main/index.asp,서울특별시
KTcs,58850,기타 정보 서비스업,전화번호검색 데이타제공/콜센터 운영,2010-09-16,12월,양승규,http://www.ktcs.co.kr,대전광역시
현대홈쇼핑,57050,무점포 소매업,TV홈쇼핑 도소매/홈쇼핑프로그램 제작,2010-09-13,12월,"정교선,강찬석(각자 대표이사)",http://www.hmall.com,서울특별시
도화엔지니어링,2150,"건축기술, 엔지니어링 및 관련 기술 서비스업","토목설계,건축설계,종합감리전문업,종합기술용역,엔지니어링",2010-08-12,12월,"김영윤, 박승우, 곽준상",http://www.dohwa.co.kr,서울특별시
대성산업,128820,연료 소매업,"주요소운영,기계판매 등",2010-07-30,12월,"김영대, 지관(각자대표)",http://www.daesung.co.kr,서울특별시
아이마켓코리아,122900,상품 종합 도매업,B2B 전자상거래,2010-07-30,12월,남인봉,http://www.imarketkorea.com,서울특별시
한미약품,128940,의약품 제조업,의약품,2010-07-30,12월,"우종수, 권세창",,경기도
우진,105840,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",원전용계측기,2010-07-26,12월,"이재상, 백승한 각자대표",http://www.woojininc.com,경기도
무학,33920,알코올음료 제조업,소주,2010-07-20,12월,"최재호, 이수능 (각자 대표이사)",http://www.muhak.co.kr,경상남도
웅진에너지,103130,반도체 제조업,"태양전지원료(잉곳),태양전지용웨이퍼 제조/전기공사/신재생에너지 사업",2010-06-30,12월,신종진,http://www.woongjinenergy.com/,대전광역시
이연제약,102460,의약품 제조업,"항생제,순환기제",2010-06-10,12월,"정순옥, 유용환 (각자 대표이사)",http://reyonpharm.co.kr,서울특별시
한국화장품,123690,생활용품 도매업,화장품,2010-06-01,12월,이용준,http://www.ihkcos.co.kr,서울특별시
에스제이엠,123700,자동차 신품 부품 제조업,자동차및산업용Bellows,2010-05-31,12월,김휘중 (단독 대표이사),,경기도
한라홀딩스,60980,기타 금융업,지주회사 및 경영컨설팅 서비스업,2010-05-19,12월,"홍석화, 최경선",http://www.hallaholdings.com,경기도
삼성생명,32830,보험업,"생명보험,부동산 임대",2010-05-12,12월,전영묵,http://www.samsunglife.com,서울특별시
신세계푸드,31440,음식점업,"단체급식, 식자재유통, 외식",2010-04-29,12월,"김운아, 성열기(각자대표)",http://www.shinsegaefood.com,서울특별시
한화생명,88350,보험업,생명보험,2010-03-17,12월,여승주,http://www.hanwhalife.com,서울특별시
조선선재,120030,기타 금속 가공제품 제조업,용접재료,2010-02-19,12월,임규섭,http://www.chosunwelding.com,경상북도
코오롱인더,120110,화학섬유 제조업,"산업자재, 화학, 필름",2010-02-01,12월,장희구,,서울특별시
KC코트렐,119650,일반 목적용 기계 제조업,전기집진기 등,2010-01-29,12월,서동영,http://www.kc-cottrell.com,서울특별시
지역난방공사,71320,"증기, 냉·온수 및 공기조절 공급업","집단에너지공급 및 전기,증기 생산,판매",2010-01-29,12월,황창화,http://www.kdhc.co.kr,경기도
락앤락,115390,플라스틱제품 제조업,플라스틱 밀폐용기,2010-01-28,12월,김성훈,,충청남도
영흥,12160,1차 철강 제조업,와이어로프 등,2010-01-25,12월,최영민,,충청남도
우리들휴브레인,118000,기계장비 및 관련 물품 도매업,의료기기 도매,2009-12-30,12월,신범용,,경기도
한전기술,52690,"건축기술, 엔지니어링 및 관련 기술 서비스업",원자력발전소 설계 등,2009-12-14,12월,이배수,http://www.kepco-enc.com,경상북도
GKL,114090,유원지 및 기타 오락관련 서비스업,카지노,2009-11-19,12월,유태열,http://www.grandkorea.com,서울특별시
SK,34730,기타 금융업,"지주회사, 시스템통합(SI), 정보통신사업 관련 컨설팅,조사용역,정보통신기술 연구개발/정보통신기기,소프트웨어 개발,도매",2009-11-11,12월,"최태원, 장동현, 박성하",http://www.sk.co.kr,서울특별시
황금에스티,32560,1차 비철금속 제조업,"스테인레스 냉연, 열연",2009-10-29,12월,김종현,http://www.hwangkum.com,경기도
하이트진로,80,알코올음료 제조업,소주,2009-10-19,12월,김인규,http://www.hitejinro.com,서울특별시
동양생명,82640,보험업,생명보험,2009-10-08,12월,"뤄젠룽(Luo, Jian Rong)",http://www.myangel.co.kr,서울특별시
유니온머티리얼,47400,"내화, 비내화 요업제품 제조업","페라이트,세라믹 제조,도매",2009-09-29,12월,"김진영, 이우선",http://unionmaterials.com,대구광역시
형지엘리트,93240,봉제의복 제조업,"학생복,스포츠의류,작업복 제조,도매",2009-09-28,06월,최병오,http://www.hyungji-elite.com,인천광역시
키움증권,39490,금융 지원 서비스업,"유가증권의 매매, 위탁, 인수, 주선",2009-08-03,12월,이 현,http://www.kiwoom.com,서울특별시
영원무역,111770,상품 종합 도매업,스포츠의류,2009-07-30,12월,성기학,,서울특별시
아주캐피탈,33660,기타 금융업,"투자회사,할부금융,리스/자동차정비,자동차리스",2009-06-25,12월,박춘원,http://www.ajucapital.co.kr,대전광역시
한미글로벌,53690,"건축기술, 엔지니어링 및 관련 기술 서비스업","건축 설계,감리/건축공사,토목공사,설비공사,전기공사,안전공사",2009-06-23,12월,"윤요현, 박서영",http://www.hanmiparsons.com,서울특별시
동아지질,28100,기반조성 및 시설물 축조관련 전문공사업,"보링그라우팅공사,토공사,철근콘크리트공사,상하수도공사,비계구조물해체공사,수중공사/지질조사,시공감리",2009-06-12,12월,최재우,http://www.dage.co.kr,부산광역시
STX중공업,71970,일반 목적용 기계 제조업,"조선기자재, 기계부품, 엔진산업환경발전설비, 플랜트(EPC)",2009-05-15,12월,최순필,http://www.stxhi.co.kr,경상남도
LG하우시스,108670,플라스틱제품 제조업,"창호재, 자동차부품 등",2009-04-20,12월,"강계웅, 강인식",http://www.lghausys.com,서울특별시
한세실업,105630,봉제의복 제조업,의류 완제품,2009-03-20,12월,"김익환, 조희선",http://www.hansae.com,서울특별시
컨버즈,109070,"골판지, 종이 상자 및 종이용기 제조업","크라프트지,박엽지",2009-03-17,12월,곽종윤,http://www.k-paper.kr,충청남도
미원홀딩스,107590,기타 금융업,도료첨가제,2009-03-02,12월,"김정돈, 이선복",,경기도
NAVER,35420,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",포털 서비스 및 온라인 광고,2008-11-28,12월,한성숙,http://www.navercorp.com,경기도
부국철강,26940,1차 철강 제조업,철강,2008-10-14,12월,남상규/손일호,http://www.bks.co.kr,광주광역시
KB금융,105560,기타 금융업,-,2008-10-10,12월,윤종규,http://www.kbfg.com,서울특별시
한국철강,104700,1차 철강 제조업,철근. 단조강. 파이프,2008-09-29,12월,"문종인, 이수하 (각자대표)",http://www.kisco.co.kr,경상남도
일진전기,103590,절연선 및 케이블 제조업,,2008-08-01,12월,황수 (단독대표),,경기도
풍산,103140,1차 비철금속 제조업,,2008-07-30,12월,"류진, 박우동",http://www.poongsan.co.kr,경기도
LG이노텍,11070,전자부품 제조업,기타 전자부품 제조업,2008-07-24,12월,정철동,http://www.lginnotek.co.kr,서울특별시
명문제약,17180,의약품 제조업,"의약품(ROBAXIN 주사,KIMITE패취) 제조,판매",2008-07-10,12월,박춘식,http://www.mmpharm.co.kr,경기도
비상교육,100220,"서적, 잡지 및 기타 인쇄물 출판업","참고서 출판/소프트웨어 개발,공급",2008-06-30,12월,양태회,http://www.visang.com,서울특별시
동성코퍼레이션,102260,회사 본부 및 경영 컨설팅 서비스업,,2008-06-23,12월,이만우,http://www.dongsungholdings.com,부산광역시
쌍방울,102280,봉제의복 제조업,,2008-06-10,12월,김세호,http://www.sbw.co.kr,서울특별시
LG유플러스,32640,전기 통신업,"개인휴대통신서비스,음성서비스,데이터서비스,부가통신/단말기 도소매/프로그램 개발,자료제공",2008-04-21,12월,하현회,http://www.uplus.co.kr,서울특별시
비티원,101140,생활용품 도매업,"신발,의류,스포츠용품 도매,제조",2008-04-02,12월,김재욱,http://www.btone.com,서울특별시
아시아나항공,20560,항공 여객 운송업,"항공운송(여객운송,화물운송)/항공기 제조,정비수리",2008-03-28,12월,한창수,http://www.flyasiana.com,서울특별시
SBS미디어홀딩스,101060,텔레비전 방송업,지주회사,2008-03-24,12월,신경렬,http://www.sbsmedia.co.kr,서울특별시
S&TC,100840,일반 목적용 기계 제조업,"공냉식 열교환장치,폐열회수장치 제조",2008-02-22,12월,신경인,http://www.hisnt.com,경상남도
진양홀딩스,100250,플라스틱제품 제조업,"투자,경영컨설팅",2008-02-15,12월,"양준영,임규호(각자대표)",http://cyholdings.kr,부산광역시
하나니켈1호,99340,신탁업 및 집합투자업,투자신탁,2008-02-01,02월,하나UBS자산운용(주),,서울특별시
하나니켈2호,99350,신탁업 및 집합투자업,투자신탁,2008-02-01,02월,하나UBS자산운용(주),,서울특별시
엔케이,85310,"구조용 금속제품, 탱크 및 증기발생기 제조업","고압가스용기,선박용,육상용 소화설비장치,천연가스이동식충전소 제조,도매",2008-01-24,12월,천남주,http://www.nkcf.com,부산광역시
한전KPS,51600,전기 및 통신 공사업,"일반전기공사,발전설비정비공사,점검,수리,엔지니어링",2007-12-14,12월,김범년,http://www.kps.co.kr,전라남도
이아이디,93230,기타 전문 도매업,"무선통신기기부품,전시용 핸드폰모형기(ADM) 제조",2007-11-01,12월,김성규,http://www.eid21.co.kr,경기도
기신정기,92440,특수 목적용 기계 제조업,"몰드베이스,금형부품,정밀기계기구 제조,도매,무역",2007-10-30,03월,윤현도,http://www.kishin.com,인천광역시
KSS해운,44450,해상 운송업,"특수화물해상운송(케이컬,액화가스,냉동.냉장화물),선박대여",2007-10-26,12월,이대성,,서울특별시
효성 ITX,94280,기타 사업지원 서비스업,"컨택센터서비스, Cloud솔루션, CDN, 프로젝터판매",2007-10-25,12월,남경환,http://www.hyosungitx.com,서울특별시
유나이티드,33270,의약품 제조업,"홈타민 진생연질60C(비타민제),항암제,항생제,순환기계,해열진통제,소화기계약품 제조",2007-10-23,12월,강덕영,http://www.kup.co.kr,세종특별자치시
디아이씨,92200,자동차 신품 부품 제조업,"자동차부품(트란스밋숀,프런트액슬,기어,전동축),변속동력전달장치,특수공구,농기계 및 산업기계부품 제조,무역",2007-10-18,12월,김정렬,http://dicorp.co.kr,울산광역시
CJ제일제당,97950,기타 식품 제조업,"설탕,소맥분,조미식품,육가공식품(돈육,돼지비계,돼지식용설육),대두가공식품,사료,의약품,생활화학제품 제조,도매,무역/통신판매",2007-09-28,12월,"손경식, 강신호 (각자 대표이사)",http://www.cj.co.kr,서울특별시
팬오션,28670,해상 운송업,"해상화물운송(외항,운수보관)",2007-09-21,12월,"김홍국, 안중호(각자 대표이사)",http://www.panocean.com,서울특별시
한진중공업,97230,토목 건설업,"선박건조,기계플랜트 제조/토목공사,건축공사,조경공사,전기공사,가스공사,준설공사,기계설비공사",2007-08-31,12월,이병모,http://www.hanjinsc.com,부산광역시
JW홀딩스,96760,기타 금융업,의약품 수출입업,2007-07-31,12월,"이경하, 한성권",http://jw-holdings.co.kr,서울특별시
SK이노베이션,96770,석유 정제품 제조업,"석유정제,석유화학제품,윤활유제품,아스팔트제품,의약중간체 제조,판매,유전개발,대체에너지사업",2007-07-25,12월,김준,http://www.SKinnovation.com,서울특별시
삼성카드,29780,기타 금융업,"신용카드업,상품신용판매,현금서비스,카드론,리스,기업대출,여행업무,통신판매",2007-06-27,12월,김대환,http://www.samsungcard.co.kr,서울특별시
베트남개발1,96300,신탁업 및 집합투자업,투자신탁,2007-06-13,02월,한국투자신탁운용(주),,서울특별시
알루코,1780,1차 비철금속 제조업,"알루미늄제품,샷시 제조",2007-06-07,12월,전병일,http://www.dygc.co.kr,대전광역시
웅진씽크빅,95720,초등 교육기관,"기타출판 제조/서적,교구,통신판매 도소매/부동산 임대/교구렌탈,컴퓨터운용관련서비스",2007-05-31,12월,이재진,http://www.wjthinkbig.com,경기도
맵스리얼티1,94800,신탁업 및 집합투자업,,2007-04-09,12월,미래에셋자산운용(주),http://www.miraeasset.com,서울특별시
메타랩스,90370,봉제의복 제조업,"여성용 의류(캐쥬얼티셔츠,바지) 제조",2006-12-26,12월,유지헌,http://www.metalabs.co.kr,서울특별시
후성,93370,기초 화학물질 제조업,"불소화물 제조,도매",2006-12-22,12월,"송한주, 김용민",http://www.foosungchem.com,경기도
LF,93050,봉제의복 제조업,"기성복, 의류, 잡화, 제조",2006-12-01,12월,"구본걸,오규식",http://www.lfcorp.com,서울특별시
주연테크,44380,컴퓨터 및 주변장치 제조업,"각종컴퓨터,주변기기 제조/소프트웨어 개발",2006-11-15,12월,김희라,http://www.jooyon.co.kr,서울특별시
코스맥스비티아이,44820,기타 금융업,"화장품,의약부외품 제조,도매",2006-11-13,12월,"이완경, 이병주",http://www.cosmax.com,경기도
인천도시가스,34590,연료용 가스 제조 및 배관공급업,도시가스 공급/가스설비공사,2006-11-07,12월,정진서,http://www.icgas.co.kr,인천광역시
삼정펄프,9770,"펄프, 종이 및 판지 제조업","지류화장지,안면용,위생용 티슈 제조,판매",2006-10-17,12월,전성오,http://www.sjpulp.com,경기도
KEC,92220,반도체 제조업,반도체 제조,2006-10-16,12월,황창섭,http://www.kec.co.kr,서울특별시
KPX홀딩스,92230,기초 화학물질 제조업,지주회사,2006-10-12,12월,양준영,http://www.kpxholdings.com,서울특별시
HDC현대EP,89470,기타 화학제품 제조업,"합성수지(PP컴파운딩가공,자동차범퍼,내장제) 제조,도소매",2006-09-25,12월,강창균,http://www.hyundai-ep.com,충청남도
세원셀론텍,91090,"구조용 금속제품, 탱크 및 증기발생기 제조업","화학플랜트 설비,기계 제작(음식료,석유화학사업관련)/유공압기기 판매",2006-07-31,12월,"장정호, 유승주",http://sewoncellontech.com,서울특별시
노루페인트,90350,기타 화학제품 제조업,페인트 제조,2006-07-03,12월,"김용기, 조성국(각자 대표이사)",,경기도
아모레퍼시픽,90430,기타 화학제품 제조업,"화장품,생활용품 제조, 판매",2006-06-29,12월,"서경배, 안세홍",http://www.apgroup.com,서울특별시
롯데관광개발,32350,여행사 및 기타 여행보조 서비스업,"국내외여행알선,관광개발,전세운수,항공권매매대행",2006-06-08,12월,"김기병, 백현",http://lottetour.com,서울특별시
평화산업,90080,자동차 신품 부품 제조업,"자동차부품(방진고무,방류고무(COVER류,CUP류),호스류),장비시설용 부품 제조,판매",2006-06-02,12월,"김종석, 김동관",http://www.ph.co.kr,대구광역시
우진플라임,49800,특수 목적용 기계 제조업,"플라스틱사출성형기 제조,판매",2006-05-24,12월,김익환,http://www.woojinplaimm.com,충청북도
신세계I&C,35510,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","IT시스템 개발, 운영 및 유지보수, IT 컨설팅, IT장비솔루션 총판, 아웃소싱, IDC, IT기기 및 휴대폰 유통, 전자상품권",2006-05-18,12월,김장욱,http://www.shinsegae-inc.com,서울특별시
진도,88790,기타 전문 도매업,"모피제품 제조,가공",2006-03-28,12월,임영준,http://www.jindofand.co.kr,서울특별시
맥쿼리인프라,88980,신탁업 및 집합투자업,증권투자회사,2006-03-15,12월,맥쿼리자산운용(주),http://www.macquarie.com/kr/kr/mkif/index.html,서울특별시
롯데쇼핑,23530,종합 소매업,"백화점(의류,식품 및 잡화),할인점 운영/전자상거래",2006-02-09,12월,강희태,http://www.lotteshoppingir.com/,서울특별시
현대글로비스,86280,기타 운송관련 서비스업,"화물운송주선,화물포장,자동차 수리/산업용 기계장비 임대",2005-12-26,12월,김정훈,http://www.glovis.net,서울특별시
티비에이치글로벌,84870,봉제의복 제조업,"캐주얼의류,여성의류,남성의류 제조,도소매",2005-12-19,12월,우종완,,서울특별시
하나금융지주,86790,기타 금융업,기타 금융,2005-12-12,12월,김정태,http://www.hanafn.com,서울특별시
제일연마,1560,기타 비금속 광물제품 제조업,"연마석,다이아몬드공구 제조,도소매/주택건설",2005-12-09,12월,"오유인, 오현수 (각자 대표)",http://www.grinding.co.kr,경상북도
현대리바트,79430,가구 제조업,"일반목재가구(책상,침실가구),주방가구,목창호,사무용가구,선실가구 제조",2005-11-22,12월,윤기철,http://www.hyundailivart.co.kr,경기도
대한제강,84010,1차 철강 제조업,"제강,철재,철근,환봉,마환봉,빌레트 제조",2005-10-31,12월,오치훈,http://www.idaehan.com,부산광역시
새론오토모티브,75180,자동차 신품 부품 제조업,"자동차부품(브레이크패드,라이닝,허브,캠),분말야금제품,에어콘,냉장고용부품 제조,도매",2005-10-21,12월,"정경호, 이시이 야스지",http://www.saeronauto.co.kr,충청남도
그린케미칼,83420,기타 화학제품 제조업,"비이온계면활성제 제조,도매",2005-10-20,12월,양준화,http://www.korgc.com,충청남도
동북아12호선박투자,83370,운송장비 임대업,운수장비 임대,2005-08-29,12월,고성준,,부산광역시
대상홀딩스,84690,기타 금융업,지주회사,2005-08-17,12월,"임창욱, 최성수 각자대표이사",,서울특별시
코아스,71950,가구 제조업,"사무용가구,금속가구 도매,제조",2005-08-04,12월,노재근,http://www.ikoas.com,서울특별시
이월드,84680,유원지 및 기타 오락관련 서비스업,"놀이시설 운영,입장료,식음료 소매,부동산 임대",2005-07-26,12월,"유병천, 김현준",http://www.eworld.kr,대구광역시
동양고속,84670,육상 여객 운송업,고속버스 운송/부동산 임대,2005-07-25,12월,백남근,http://www.dyexpress.co.kr,경기도
한미반도체,42700,특수 목적용 기계 제조업,"반도체 후공정장비,반도체금형 제조/부동산 매매,임대",2005-07-22,12월,곽동신,http://www.hanmisemi.com,인천광역시
